Job,Place,Location
Engenheiro de Infraestrutura III - Seguros,CERC,Remoto
Engenheiro de Software III,CERC,Remoto
Desenvolvedor(a) Backend - Django,iDev Solucoes ,Remoto
Desenvolvedor(a) Python ,Diamante Tintas,Campinas
Desenvolvedor(a) Python,Patrick Otto,Palhoca
Desenvolvedor(a) Full Stack,HOOBOX ROBOTICS,Remoto
Desenvolvedor(a) Full-stack  + Django + Pleno,Neo Ventures,Remoto
Engenheiro de Software - PJ - Todos os niveis,Pareto,Remoto
Desenvolvedor(a) ODOO,INOWATT,Remoto
Desenvolvedor(a) Python Senior,Casajeitada Tecnologia e Servicos,Remoto
Desenvolvedor(a) Back-end Python,Zerum,Remoto
AZURE DevOps Engineer,Diego Maia,Sao Paulo
Desenvolvedor(a) Phyton Pleno,Hyperativa,Remoto
[VAGA] - Engenheiro(a) de Automacao,HOOBOX ROBOTICS,Sao Paulo
Desenvolvedor(a) Python Django Senior,Smarket,Florianopolis
